index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
323,61.2711,48.1809,1053.66,0.782242
324,62.1913,48.1882,1053.96,0.787726
325,63.1121,48.195,1054.26,0.794201
326,64.0337,48.2022,1054.55,0.79972
327,64.956,48.2089,1054.85,0.805843
328,65.8788,48.216,1055.15,0.811503
329,66.8027,48.2328,1055.43,0.817658
330,67.7285,48.2432,1055.74,0.822763
331,77.9509,48.3949,1059.34,0.889925
332,78.859,48.3326,1059.36,0.895431
333,79.7875,48.3292,1059.62,0.901763
334,80.7178,48.3365,1059.9,0.907623
335,81.6503,48.3434,1060.2,0.912858
336,82.584,48.3506,1060.5,0.91898
337,83.5177,48.3581,1060.8,0.924839
338,84.4519,48.3652,1061.1,0.930746
339,85.3868,48.3722,1061.4,0.936647
340,86.3222,48.3797,1061.7,0.942157
341,-28.0582,46.5324,1024.33,0.314818
342,-27.1899,46.5394,1024.63,0.319336
343,-26.3209,46.546,1024.93,0.323652
344,-25.4516,46.5541,1025.23,0.327953
345,-24.5819,46.5612,1025.52,0.332065
346,-23.7114,46.5691,1025.82,0.336504
347,-22.8408,46.5769,1026.12,0.340723
348,-21.9697,46.5848,1026.42,0.344655
349,-21.0979,46.5928,1026.72,0.348871
350,-20.2257,46.6006,1027.02,0.35313
351,-19.3527,46.6075,1027.31,0.357988
352,-18.4796,46.6143,1027.61,0.36293
353,-17.6059,46.6221,1027.91,0.367405
354,-16.7316,46.6292,1028.2,0.371991
355,-15.8568,46.6365,1028.5,0.376638
356,-14.9815,46.6441,1028.8,0.381092
357,-14.1056,46.6509,1029.1,0.386026
358,-13.2293,46.6585,1029.4,0.390452
359,-12.3519,46.6635,1029.66,0.394517
360,-1.7912,46.7884,1033.34,0.4374
361,-0.909111,46.7826,1033.58,0.444096
362,-0.0255088,46.7799,1033.82,0.449604
363,0.859017,46.7857,1034.1,0.45433
364,1.74406,46.7922,1034.4,0.4592
365,2.62937,46.8,1034.69,0.463632
366,3.51551,46.8077,1034.98,0.467917
367,4.40214,46.8165,1035.28,0.471809
368,5.28873,46.8244,1035.57,0.476008
369,6.17672,46.833,1035.89,0.480788
370,7.06574,46.8402,1036.2,0.485943
371,7.95613,46.8445,1036.65,0.493515
372,18.6526,46.9721,1040.27,0.541197
373,19.5424,46.9585,1040.32,0.544679
374,20.4369,46.9562,1040.51,0.548648
375,21.3331,46.9643,1040.81,0.553164
376,22.2294,46.9725,1041.1,0.557882
377,23.1265,46.9803,1041.39,0.562481
378,24.0236,46.9879,1041.69,0.567163
379,24.9214,46.9951,1041.98,0.572142
380,25.8199,47.0017,1042.26,0.576904
381,26.7172,47.0006,1042.52,0.580547
382,27.6145,46.9959,1042.71,0.583685
383,37.5762,47.1602,1046.87,0.650665
384,38.4685,47.1507,1046.83,0.648799
385,39.3566,47.1219,1046.67,0.652217
386,40.2623,47.1219,1046.92,0.65651
387,41.1676,47.126,1047.21,0.660954
388,42.0761,47.133,1047.5,0.666276
389,42.9841,47.1397,1047.79,0.671485
390,43.8934,47.1469,1048.08,0.676561
391,44.8028,47.1541,1048.38,0.681686
392,45.7129,47.1618,1048.67,0.685982
393,46.6232,47.1676,1048.93,0.689892
394,47.5328,47.1925,1049.17,0.693167
395,48.4392,47.2299,1049.33,0.693973
396,57.6294,47.3397,1053.14,0.763255
397,58.5357,47.3046,1053.25,0.768759
398,59.4377,47.2793,1053.27,0.772815
399,60.3451,47.2718,1053.36,0.777652
400,61.2652,47.2805,1053.66,0.782785
401,62.1856,47.2877,1053.95,0.788251
402,63.1061,47.2945,1054.25,0.794559
403,64.0277,47.3014,1054.54,0.800182
404,64.9501,47.3078,1054.84,0.806478
405,65.8725,47.3144,1055.14,0.812003
406,66.7965,47.3312,1055.42,0.817698
407,67.7235,47.3522,1055.74,0.822568
408,77.9473,47.4872,1059.38,0.892244
409,78.8532,47.4192,1059.37,0.896456
410,79.7802,47.4175,1059.61,0.901937
411,80.7109,47.4306,1059.9,0.907207
412,81.6434,47.4381,1060.2,0.912509
413,82.577,47.4451,1060.5,0.918429
414,83.5108,47.453,1060.79,0.92419
415,84.4448,47.4604,1061.09,0.929947
416,85.3797,47.4666,1061.39,0.935894
417,86.3153,47.4739,1061.69,0.94165
418,-28.0616,45.6556,1024.31,0.315152
419,-27.1934,45.6624,1024.6,0.319616
420,-26.3245,45.669,1024.9,0.32408
421,-25.4552,45.6766,1025.2,0.328473
422,-24.5853,45.6836,1025.5,0.332655
423,-23.7148,45.6914,1025.8,0.336884
424,-22.8441,45.6987,1026.09,0.341071
425,-21.973,45.7062,1026.39,0.345099
426,-21.1011,45.7142,1026.69,0.349269
427,-20.2289,45.7217,1026.99,0.353413
428,-19.3564,45.7285,1027.29,0.358083
429,-18.4832,45.7353,1027.58,0.36297
430,-17.6095,45.743,1027.88,0.367504
431,-16.7352,45.75,1028.18,0.371936
432,-15.8606,45.7572,1028.47,0.376511
433,-14.9852,45.7649,1028.77,0.38079
434,-14.1092,45.7718,1029.07,0.385575
435,-13.233,45.7793,1029.37,0.390072
436,-12.3558,45.7826,1029.64,0.394396
437,-1.79443,45.8866,1033.29,0.441458
438,-0.911638,45.8998,1033.54,0.445721
439,-0.0292152,45.8995,1033.8,0.449821
440,0.854753,45.9022,1034.08,0.454527
441,1.73976,45.9086,1034.37,0.459434
442,2.62475,45.9159,1034.67,0.463849
443,3.51091,45.9234,1034.96,0.468069
444,4.39722,45.9316,1035.26,0.472082
445,5.28373,45.9394,1035.55,0.476369
446,6.17167,45.9471,1035.86,0.481174
447,7.06031,45.9556,1036.18,0.485673
448,7.94999,45.9653,1036.58,0.48669
449,18.6453,46.0627,1040.13,0.543167
450,19.5365,46.0618,1040.29,0.545598
451,20.4314,46.0663,1040.5,0.549525
452,21.3277,46.0748,1040.79,0.553769
453,22.2238,46.0823,1041.09,0.558568
454,23.1212,46.09,1041.38,0.563087
455,24.0184,46.0974,1041.67,0.567832
456,24.9163,46.1045,1041.96,0.572785
457,25.8147,46.111,1042.25,0.577778
458,26.7117,46.1146,1042.51,0.58067
459,27.6084,46.0979,1042.72,0.582492
460,37.5698,46.2637,1046.81,0.651104
461,38.4601,46.2499,1046.73,0.650244
462,39.3515,46.2185,1046.67,0.653238
463,40.2567,46.2257,1046.91,0.65722
464,41.1618,46.2309,1047.2,0.66152
465,42.0703,46.2376,1047.49,0.666784
466,42.9784,46.244,1047.78,0.672215
467,43.8876,46.2513,1048.07,0.677242
468,44.7971,46.2587,1048.36,0.682178
469,45.7071,46.2658,1048.65,0.68684
470,46.6176,46.267,1048.92,0.690875
471,47.5258,46.2635,1049.14,0.696068
472,48.4318,46.2585,1049.33,0.702394
473,57.6232,46.3608,1053.15,0.771505
474,58.5273,46.3807,1053.19,0.773359
475,59.4305,46.3836,1053.22,0.774977
476,60.34,46.3721,1053.35,0.779128
477,61.2595,46.38,1053.65,0.784146
478,62.1799,46.3869,1053.95,0.78944
479,63.1005,46.3939,1054.24,0.795374
