index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
12549,-27.63,-53.9078,1021.42,-0.47812
12550,-26.7631,-53.9292,1021.73,-0.477324
12551,-25.8963,-53.9498,1022.05,-0.477204
12552,-25.0287,-53.9702,1022.37,-0.476677
12553,-24.1605,-53.991,1022.68,-0.476172
12554,-23.2915,-54.0113,1022.99,-0.47545
12555,-22.4223,-54.032,1023.31,-0.474974
12556,-21.5523,-54.0548,1023.64,-0.4739
12557,-20.6812,-54.0801,1023.95,-0.47271
12558,-11.949,-54.2825,1027.11,-0.467472
12559,-11.076,-54.3094,1027.45,-0.470012
12560,-10.1985,-54.3346,1027.74,-0.468996
12561,-9.32139,-54.3551,1028.06,-0.468605
12562,-8.44381,-54.375,1028.4,-0.46813
12563,-7.5659,-54.3968,1028.72,-0.468053
12564,-6.68698,-54.4183,1029.04,-0.46751
12565,-5.80779,-54.4395,1029.35,-0.467246
12566,-4.92795,-54.4612,1029.67,-0.466889
12567,-4.04749,-54.4825,1029.99,-0.466436
12568,-3.16635,-54.5043,1030.31,-0.465852
12569,-2.2843,-54.5252,1030.62,-0.46491
12570,6.56091,-54.7549,1033.87,-0.461506
12571,7.44868,-54.769,1034.19,-0.461027
12572,8.33763,-54.7873,1034.52,-0.459951
12573,9.2266,-54.812,1034.81,-0.459111
12574,10.1164,-54.8322,1035.11,-0.458072
12575,11.0068,-54.8543,1035.41,-0.45698
12576,11.8974,-54.8758,1035.73,-0.45638
12577,12.7888,-54.8976,1036.05,-0.455552
12578,13.6808,-54.9193,1036.37,-0.454738
12579,14.5735,-54.9413,1036.69,-0.453698
12580,15.4664,-54.964,1037.01,-0.453117
12581,16.3598,-54.9851,1037.33,-0.452599
12582,17.2541,-55.0044,1037.64,-0.451638
12583,18.1464,-55.0241,1037.93,-0.45279
12584,27.1326,-55.2065,1041.63,-0.450931
12585,28.0283,-55.2493,1041.72,-0.44932
12586,28.9266,-55.2931,1041.89,-0.447731
12587,29.8276,-55.3185,1042.16,-0.446936
12588,30.7304,-55.3405,1042.47,-0.445786
