index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
194,-19.3453,48.3648,1027.36,-5.72572e-05
195,-18.4721,48.3722,1027.66,-4.95341e-05
196,-17.5985,48.38,1027.96,-4.37947e-05
197,-16.7244,48.3877,1028.25,-3.33584e-05
198,-15.8496,48.3956,1028.55,-1.00447e-05
199,-14.9742,48.4038,1028.84,1.23757e-05
200,-14.0984,48.4111,1029.14,4.74934e-05
201,-13.2219,48.4185,1029.44,6.77219e-05
202,-12.3444,48.4281,1029.72,8.38267e-05
203,-1.7834,48.5589,1033.35,0.000190094
204,-0.900541,48.5448,1033.61,9.78248e-05
205,-0.0167106,48.5455,1033.86,5.9094e-05
206,0.867983,48.5547,1034.14,7.0795e-05
207,1.75287,48.5618,1034.44,9.1096e-05
208,2.63812,48.5695,1034.73,0.000149957
209,3.52406,48.5776,1035.02,0.000882543
210,4.41052,48.5866,1035.32,0.00118241
211,5.29754,48.595,1035.61,0.0018286
212,6.18605,48.6035,1035.93,0.00283216
213,7.07505,48.6106,1036.23,0.00438334
214,7.96465,48.6195,1036.53,0.00687841
215,17.7721,48.7466,1039.87,-0.00156152
216,18.6628,48.7547,1040.25,-0.00102067
217,19.5522,48.7372,1040.31,-0.000790627
218,20.4479,48.7377,1040.55,-0.000646797
219,21.3438,48.7439,1040.84,-0.000549775
220,22.2401,48.752,1041.13,-0.000549576
221,23.137,48.7598,1041.42,-0.000492098
222,24.0344,48.7677,1041.71,-0.000447098
223,24.932,48.7756,1042.01,-0.00056334
224,25.8304,48.7837,1042.29,-0.000653869
225,26.7286,48.7853,1042.55,-0.000782833
226,27.6274,48.7899,1042.79,-0.000929975
227,28.5264,48.8088,1043,-0.000893686
228,37.5823,48.9679,1046.77,-0.0011394
229,38.4756,48.9535,1046.73,-0.00138983
230,39.3669,48.9009,1046.68,-0.00134523
231,40.2733,48.9075,1046.95,-0.0011676
232,41.1791,48.9158,1047.23,-0.00113103
233,42.0874,48.9242,1047.53,-0.000977278
234,42.996,48.9313,1047.82,-0.000549673
235,43.905,48.9391,1048.11,-0.000352498
236,44.8143,48.9469,1048.4,-0.000406962
237,45.7242,48.9544,1048.69,-0.000414011
238,46.6314,48.9588,1048.95,-0.000484595
239,47.5405,48.9787,1049.21,-0.000607917
240,48.4471,49.0173,1049.39,-0.000760111
241,57.6252,49.1308,1052.87,0.00107918
242,58.5358,49.097,1053.05,0.000807344
243,59.4446,49.0779,1053.19,0.000579664
244,60.3575,49.0729,1053.38,0.000389242
245,61.2775,49.0799,1053.67,0.000231177
246,62.1977,49.0872,1053.97,0.000145169
247,63.1187,49.0945,1054.26,8.47808e-05
248,64.0401,49.102,1054.56,1.61517e-05
249,64.9623,49.1093,1054.86,9.76685e-05
250,65.8847,49.1163,1055.15,0.000206854
251,66.8085,49.1264,1055.44,0.000375745
252,67.7331,49.1397,1055.75,0.00062247
253,77.0295,49.3476,1059.05,-0.00151531
254,77.9457,49.2784,1059.2,-0.00117117
