index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
388,3.15551,44.6515,1034.85,0.495834
389,4.04117,44.6586,1035.14,0.500891
390,4.92765,44.6654,1035.44,0.505813
391,5.81372,44.6729,1035.73,0.510572
392,6.70123,44.6786,1036.02,0.515522
393,7.58886,44.6834,1036.31,0.520545
394,8.47758,44.6898,1036.61,0.525215
395,9.36627,44.6964,1036.9,0.529408
396,10.2563,44.7019,1037.2,0.534429
397,11.146,44.7078,1037.48,0.538833
398,12.0354,44.7172,1037.76,0.542719
399,12.9266,44.7199,1038.05,0.547373
400,13.818,44.7272,1038.34,0.551486
401,14.7096,44.7341,1038.63,0.556322
402,15.6016,44.7423,1038.92,0.560789
403,16.4945,44.749,1039.21,0.56595
404,17.3899,44.7554,1039.51,0.57093
405,18.2837,44.7648,1039.81,0.576419
406,19.1782,44.7716,1040.09,0.581875
407,20.0732,44.7779,1040.38,0.587067
408,20.9687,44.7834,1040.67,0.591974
409,21.8647,44.7902,1040.96,0.597167
410,22.7604,44.7944,1041.25,0.602527
411,23.6566,44.8014,1041.54,0.607588
412,24.554,44.8081,1041.84,0.61234
413,25.4521,44.8157,1042.13,0.617637
414,26.3505,44.8221,1042.42,0.622818
415,27.249,44.8276,1042.71,0.628493
416,28.1488,44.8351,1043,0.633176
417,29.0491,44.8418,1043.29,0.637929
418,29.9502,44.8473,1043.59,0.642904
419,30.8515,44.8572,1043.88,0.648156
420,31.7533,44.8614,1044.17,0.653441
421,32.6554,44.8681,1044.45,0.658171
422,33.5579,44.8744,1044.75,0.663659
423,34.4612,44.8807,1045.04,0.669264
424,35.3646,44.8866,1045.32,0.674505
425,36.2683,44.8909,1045.61,0.679737
426,37.1733,44.899,1045.9,0.685392
427,38.078,44.9053,1046.19,0.69144
428,38.9831,44.9108,1046.48,0.697217
429,39.8889,44.9167,1046.77,0.703201
430,40.7954,44.9226,1047.05,0.709032
431,41.7032,44.9294,1047.34,0.715177
432,42.6109,44.9348,1047.64,0.721395
433,43.5199,44.9409,1047.93,0.727175
434,44.4294,44.9472,1048.22,0.732866
435,45.3384,44.9533,1048.51,0.738635
436,46.2491,44.9601,1048.81,0.744546
437,47.1596,44.9653,1049.1,0.750362
438,48.0703,44.971,1049.39,0.755813
439,48.9813,44.9764,1049.68,0.76186
440,49.8934,44.983,1049.97,0.767275
441,50.8065,44.9898,1050.26,0.772788
442,51.7197,44.9961,1050.55,0.778561
443,52.6332,45.0019,1050.84,0.78425
444,53.5483,45.0075,1051.13,0.790213
445,54.4628,45.0136,1051.42,0.796305
446,55.3778,45.0182,1051.7,0.802991
447,56.2935,45.0222,1051.98,0.810021
448,57.211,45.0287,1052.27,0.816732
449,58.1289,45.0335,1052.56,0.823677
450,59.0472,45.0392,1052.85,0.829966
451,59.9648,45.0449,1053.14,0.836579
452,60.8843,45.0508,1053.45,0.843216
453,61.8042,45.0575,1053.74,0.849196
454,62.7244,45.0642,1054.04,0.855423
455,63.6452,45.0702,1054.34,0.861859
456,64.5668,45.0761,1054.63,0.8684
457,65.4889,45.0824,1054.93,0.874696
458,66.4118,45.0891,1055.23,0.88058
459,67.3352,45.096,1055.53,0.887009
460,68.2598,45.1006,1055.83,0.893451
461,69.1842,45.1065,1056.12,0.899579
462,70.1089,45.1124,1056.42,0.905622
463,71.0344,45.1177,1056.71,0.912408
464,71.9611,45.1234,1057.01,0.919025
465,72.8871,45.1291,1057.3,0.925416
