index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
292,24.5597,45.6979,1041.87,-0.000589791
293,25.4578,45.7059,1042.16,-0.00056431
294,26.3562,45.7128,1042.45,-0.000534718
295,27.2547,45.7184,1042.74,-0.000475859
296,28.1545,45.7261,1043.03,-0.000411799
297,29.0547,45.7328,1043.3,-0.00034172
298,29.9558,45.7397,1043.6,-0.000278581
299,30.8569,45.7463,1043.89,-0.000228506
300,31.7588,45.7527,1044.18,-0.000217884
301,32.6612,45.7598,1044.47,-0.000222713
302,33.5642,45.7663,1044.76,-0.000261725
303,34.4674,45.7721,1045.05,-0.000314172
304,35.3708,45.7786,1045.34,-0.000383786
305,36.2747,45.7848,1045.63,-0.000442046
306,37.1792,45.7919,1045.91,-0.000487986
307,38.0841,45.7983,1046.2,-0.000531323
308,38.9891,45.8042,1046.49,-0.000547085
309,39.895,45.8103,1046.78,-0.000521338
310,40.802,45.8167,1047.07,-0.000501831
311,41.7099,45.8254,1047.36,-0.00048315
312,42.6175,45.8308,1047.64,-0.000443921
313,43.5264,45.8365,1047.94,-0.000415459
314,44.4359,45.8438,1048.23,-0.000415782
315,45.3449,45.8507,1048.52,-0.000407725
316,46.2555,45.8582,1048.81,-0.000412443
317,47.1658,45.8624,1049.11,-0.00041432
318,48.0768,45.868,1049.4,-0.000426101
319,48.9881,45.8738,1049.69,-0.000423469
320,49.9002,45.8793,1049.98,-0.000388515
321,50.8137,45.8845,1050.27,-0.000382808
322,51.7267,45.8907,1050.55,-0.000359903
323,52.6408,45.8967,1050.84,-0.000303557
324,53.5559,45.902,1051.13,-0.000246477
325,54.4707,45.9072,1051.42,-0.000209432
326,55.3861,45.9128,1051.7,-0.000194135
327,56.3016,45.9178,1051.99,-0.000190254
328,57.2191,45.9247,1052.28,-0.000197118
329,58.1364,45.9297,1052.57,-0.000192346
330,59.0548,45.9368,1052.87,-0.000177228
331,59.9721,45.9428,1053.16,-0.000160063
332,60.8917,45.9501,1053.46,-0.000156377
333,61.8115,45.9564,1053.75,-0.000173089
334,62.7317,45.9636,1054.05,-0.000159295
335,63.6528,45.9699,1054.35,-0.00013649
336,64.5745,45.9762,1054.65,-0.000124664
337,65.4961,45.9823,1054.94,-0.000161054
338,66.419,45.9889,1055.24,-0.000176626
339,67.3425,45.9966,1055.54,-0.000173202
340,68.2664,46.002,1055.84,-0.000156719
341,69.1906,46.0082,1056.13,-0.000130487
342,70.1154,46.014,1056.42,-0.000113679
343,71.0413,46.0199,1056.71,-6.20726e-05
344,71.968,46.0269,1057.01,-3.87549e-05
345,72.8945,46.0321,1057.31,-2.06149e-05
346,73.8221,46.038,1057.61,2.3162e-06
347,74.7495,46.0434,1057.9,1.43448e-05
348,75.6783,46.0505,1058.2,1.22934e-05
349,76.6068,46.0572,1058.49,1.28704e-06
350,77.5368,46.0636,1058.79,-8.70687e-06
351,78.4666,46.069,1059.08,-7.14756e-06
352,79.3971,46.0748,1059.37,-6.94937e-06
353,80.3297,46.0821,1059.67,-2.55736e-05
354,81.2615,46.0882,1059.97,-1.44603e-05
355,82.1938,46.0933,1060.27,-2.95726e-05
356,83.1275,46.0995,1060.57,-3.99511e-05
357,84.0611,46.1063,1060.87,-3.75456e-05
358,84.996,46.1136,1061.17,-1.47925e-05
359,85.9308,46.1201,1061.47,-3.44195e-05
360,86.8662,46.1261,1061.78,-0.000137417
361,-20.5777,44.4708,1026.85,6.54413e-05
362,-19.7053,44.477,1027.15,4.02131e-05
363,-18.8323,44.4841,1027.46,3.01612e-05
364,-17.9586,44.4915,1027.76,1.65052e-05
365,-17.0849,44.4962,1028.06,-1.49632e-05
366,-16.2104,44.5024,1028.36,-4.49879e-05
367,-15.3354,44.5089,1028.65,-5.88375e-05
368,-14.4597,44.5153,1028.95,-6.3711e-05
369,-13.5839,44.5229,1029.25,-6.82428e-05
370,-12.7078,44.5305,1029.54,-6.62767e-05
371,-11.8306,44.5374,1029.84,-4.78785e-05
372,-10.9532,44.5436,1030.13,-4.89199e-05
373,-10.076,44.5488,1030.43,-3.19666e-05
374,-9.19713,44.556,1030.71,-1.17429e-06
375,-8.31822,44.5646,1031.01,-1.60353e-05
376,-7.43774,44.5731,1031.31,-2.13281e-05
377,-6.55809,44.5776,1031.61,-2.88865e-05
378,-5.67706,44.5837,1031.92,3.61685e-05
