index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
182,33.5697,46.6581,1044.78,-0.0121286
183,34.4729,46.6642,1045.07,-0.0125883
184,35.3763,46.6705,1045.35,-0.0133151
185,36.2805,46.6784,1045.64,-0.013761
186,37.1849,46.6856,1045.93,-0.014584
187,38.0899,46.6925,1046.21,-0.0153746
188,38.9952,46.6986,1046.5,-0.0163318
189,39.9014,46.7051,1046.79,-0.0169691
190,40.8086,46.712,1047.08,-0.0170363
191,41.7158,46.7183,1047.36,-0.017316
192,42.6236,46.7246,1047.64,-0.0179746
193,43.5324,46.7303,1047.94,-0.018196
194,44.4419,46.7371,1048.23,-0.018263
195,45.351,46.7438,1048.51,-0.0190983
196,46.2614,46.7503,1048.81,-0.0196108
197,47.1718,46.7559,1049.11,-0.0205775
198,48.0832,46.762,1049.41,-0.0213665
199,48.9947,46.7685,1049.7,-0.0220257
200,49.9069,46.7745,1049.99,-0.0224704
201,50.82,46.7807,1050.28,-0.0226564
202,51.7329,46.7878,1050.56,-0.0233326
203,52.6472,46.7944,1050.85,-0.0234478
204,53.5622,46.8,1051.14,-0.0234554
205,54.4767,46.8045,1051.43,-0.0239492
206,55.3921,46.8103,1051.71,-0.024356
207,56.3079,46.8158,1052,-0.0248481
208,57.2256,46.8223,1052.29,-0.0243653
209,58.1428,46.8282,1052.58,-0.0247521
210,59.0612,46.8348,1052.88,-0.0248542
211,59.9791,46.8437,1053.17,-0.0258521
212,60.8985,46.8515,1053.47,-0.0260351
213,61.8183,46.8585,1053.76,-0.0263098
214,62.7387,46.8657,1054.06,-0.0268641
215,63.6605,46.8714,1054.36,-0.0266372
216,64.5817,46.8779,1054.66,-0.0272056
217,65.5037,46.8829,1054.95,-0.0274386
218,66.4263,46.8891,1055.25,-0.0280399
219,67.3499,46.8969,1055.55,-0.0280948
220,68.2739,46.9024,1055.84,-0.028165
221,69.1978,46.9091,1056.14,-0.0287438
222,70.1226,46.9155,1056.43,-0.0289181
223,71.0486,46.9217,1056.72,-0.0286632
